['google-t5/t5-base', 'tuner007/pegasus_summarizer', 'facebook/bart-large-cnn', 'microsoft/prophetnet-large-uncased']
comenzamos a tomar los modelos
google-t5/t5-base
google-t5/t5-base pipeline_extracted
          model_name             methods  ROUGE1-Precision  ROUGE1-Recall  ROUGE1-F1  ROUGE2-Precision  ROUGE2-Recall  ROUGE2-F1  ROUGEL-Precision  ROUGEL-Recall  ROUGEL-F1  BLEU    METEOR  Cosine Similarity  BERTScore
6  tuner007/pegasus_summarizer            pipeline          0.109029       0.476834   0.174347          0.015779       0.071433   0.025486          0.062060       0.276571   0.099680   1.0  0.062347           0.568005        1.0
7  tuner007/pegasus_summarizer  pipeline_extracted          0.107997       0.454952   0.171722          0.016082       0.066595   0.025495          0.066466       0.273755   0.105261   1.0  0.059170           0.586530        1.0
facebook/bart-large-cnn
facebook/bart-large-cnn pipeline_extracted
                     model_name             methods  ROUGE1-Precision  ROUGE1-Recall  ROUGE1-F1  ROUGE2-Precision  ROUGE2-Recall  ROUGE2-F1  ROUGEL-Precision  ROUGEL-Recall  ROUGEL-F1  BLEU    METEOR  Cosine Similarity  BERTScore
0       facebook/bart-large-cnn            original          0.118413       0.475824   0.186129          0.019746       0.080439   0.031146          0.070204       0.283577   0.110533   1.0  0.065500           0.653138        1.0
1       facebook/bart-large-cnn  original_extracted          0.107091       0.457619   0.170720          0.013288       0.055797   0.021202          0.063584       0.275933   0.101603   1.0  0.057898           0.593254        1.0
2       facebook/bart-large-cnn            pipeline          0.125656       0.526213   0.198929          0.022496       0.093638   0.035552          0.076140       0.319141   0.120514   1.0  0.070535           0.678093        1.0
3       facebook/bart-large-cnn  pipeline_extracted          0.101885       0.449021   0.163111          0.011542       0.050839   0.018516          0.058499       0.264897   0.094140   1.0  0.058963           0.576822        1.0
4             google-t5/t5-base            original          0.088107       0.448018   0.144987          0.013083       0.065321   0.021451          0.056863       0.296062   0.093785   1.0  0.051010           0.520186        1.0
5             google-t5/t5-base  original_extracted          0.073200       0.360820   0.120104          0.006507       0.027869   0.010460          0.046996       0.234220   0.077203   1.0  0.042757           0.399782        1.0
6             google-t5/t5-base            pipeline          0.086093       0.478556   0.143703          0.009279       0.054718   0.015688          0.048337       0.275212   0.080957   1.0  0.045589           0.449759        1.0
7             google-t5/t5-base  pipeline_extracted          0.084826       0.439589   0.139697          0.009264       0.048768   0.015377          0.049249       0.264020   0.081688   1.0  0.048139           0.444705        1.0
8   tuner007/pegasus_summarizer            original          0.102676       0.415400   0.161314          0.013515       0.055887   0.021244          0.062790       0.254133   0.098791   1.0  0.058366           0.559774        1.0
9   tuner007/pegasus_summarizer  original_extracted          0.095356       0.397052   0.151399          0.010378       0.041241   0.016370          0.060608       0.248156   0.096035   1.0  0.054830           0.450516        1.0
10  tuner007/pegasus_summarizer            pipeline          0.109029       0.476834   0.174347          0.015779       0.071433   0.025486          0.062060       0.276571   0.099680   1.0  0.062347           0.568005        1.0
11  tuner007/pegasus_summarizer  pipeline_extracted          0.107997       0.454952   0.171722          0.016082       0.066595   0.025495          0.066466       0.273755   0.105261   1.0  0.059170           0.586530        1.0
microsoft/prophetnet-large-uncased
microsoft/prophetnet-large-uncased pipeline_extracted
                            model_name             methods  ROUGE1-Precision  ROUGE1-Recall  ROUGE1-F1  ROUGE2-Precision  ROUGE2-Recall  ROUGE2-F1  ROUGEL-Precision  ROUGEL-Recall  ROUGEL-F1  BLEU    METEOR  Cosine Similarity  BERTScore
0              facebook/bart-large-cnn            original          0.118413       0.475824   0.186129          0.019746       0.080439   0.031146          0.070204       0.283577   0.110533   1.0  0.065500           0.653138        1.0
1              facebook/bart-large-cnn  original_extracted          0.107091       0.457619   0.170720          0.013288       0.055797   0.021202          0.063584       0.275933   0.101603   1.0  0.057898           0.593254        1.0
2              facebook/bart-large-cnn            pipeline          0.125656       0.526213   0.198929          0.022496       0.093638   0.035552          0.076140       0.319141   0.120514   1.0  0.070535           0.678093        1.0
3              facebook/bart-large-cnn  pipeline_extracted          0.101885       0.449021   0.163111          0.011542       0.050839   0.018516          0.058499       0.264897   0.094140   1.0  0.058963           0.576822        1.0
4                    google-t5/t5-base            original          0.088107       0.448018   0.144987          0.013083       0.065321   0.021451          0.056863       0.296062   0.093785   1.0  0.051010           0.520186        1.0
5                    google-t5/t5-base  original_extracted          0.073200       0.360820   0.120104          0.006507       0.027869   0.010460          0.046996       0.234220   0.077203   1.0  0.042757           0.399782        1.0
6                    google-t5/t5-base            pipeline          0.086093       0.478556   0.143703          0.009279       0.054718   0.015688          0.048337       0.275212   0.080957   1.0  0.045589           0.449759        1.0
7                    google-t5/t5-base  pipeline_extracted          0.084826       0.439589   0.139697          0.009264       0.048768   0.015377          0.049249       0.264020   0.081688   1.0  0.048139           0.444705        1.0
8   microsoft/prophetnet-large-uncased            original          0.140141       0.416310   0.202819          0.018705       0.062192   0.027873          0.080089       0.245971   0.117054   1.0  0.078187           0.591875        1.0
9   microsoft/prophetnet-large-uncased  original_extracted          0.105574       0.379333   0.159971          0.010994       0.039847   0.016781          0.062485       0.229859   0.094948   1.0  0.062403           0.469549        1.0
10  microsoft/prophetnet-large-uncased            pipeline          0.125232       0.443205   0.185128          0.014251       0.051230   0.021212          0.081204       0.303145   0.121440   1.0  0.068641           0.517075        1.0
11  microsoft/prophetnet-large-uncased  pipeline_extracted          0.102096       0.377428   0.155629          0.011144       0.042746   0.016934          0.064976       0.247212   0.099626   1.0  0.057695           0.386487        1.0
12         tuner007/pegasus_summarizer            original          0.102676       0.415400   0.161314          0.013515       0.055887   0.021244          0.062790       0.254133   0.098791   1.0  0.058366           0.559774        1.0
13         tuner007/pegasus_summarizer  original_extracted          0.095356       0.397052   0.151399          0.010378       0.041241   0.016370          0.060608       0.248156   0.096035   1.0  0.054830           0.450516        1.0
14         tuner007/pegasus_summarizer            pipeline          0.109029       0.476834   0.174347          0.015779       0.071433   0.025486          0.062060       0.276571   0.099680   1.0  0.062347           0.568005        1.0
15         tuner007/pegasus_summarizer  pipeline_extracted          0.107997       0.454952   0.171722          0.016082       0.066595   0.025495          0.066466       0.273755   0.105261   1.0  0.059170           0.586530        1.0
                            model_name             methods  ROUGE1-Precision  ROUGE1-Recall  ROUGE1-F1  ROUGE2-Precision  ROUGE2-Recall  ROUGE2-F1  ROUGEL-Precision  ROUGEL-Recall  ROUGEL-F1  BLEU    METEOR  Cosine Similarity  BERTScore
0              facebook/bart-large-cnn            original          0.118413       0.475824   0.186129          0.019746       0.080439   0.031146          0.070204       0.283577   0.110533   1.0  0.065500           0.653138        1.0
1              facebook/bart-large-cnn  original_extracted          0.107091       0.457619   0.170720          0.013288       0.055797   0.021202          0.063584       0.275933   0.101603   1.0  0.057898           0.593254        1.0
2              facebook/bart-large-cnn            pipeline          0.125656       0.526213   0.198929          0.022496       0.093638   0.035552          0.076140       0.319141   0.120514   1.0  0.070535           0.678093        1.0
3              facebook/bart-large-cnn  pipeline_extracted          0.101885       0.449021   0.163111          0.011542       0.050839   0.018516          0.058499       0.264897   0.094140   1.0  0.058963           0.576822        1.0
4                    google-t5/t5-base            original          0.088107       0.448018   0.144987          0.013083       0.065321   0.021451          0.056863       0.296062   0.093785   1.0  0.051010           0.520186        1.0
5                    google-t5/t5-base  original_extracted          0.073200       0.360820   0.120104          0.006507       0.027869   0.010460          0.046996       0.234220   0.077203   1.0  0.042757           0.399782        1.0
6                    google-t5/t5-base            pipeline          0.086093       0.478556   0.143703          0.009279       0.054718   0.015688          0.048337       0.275212   0.080957   1.0  0.045589           0.449759        1.0
7                    google-t5/t5-base  pipeline_extracted          0.084826       0.439589   0.139697          0.009264       0.048768   0.015377          0.049249       0.264020   0.081688   1.0  0.048139           0.444705        1.0
8   microsoft/prophetnet-large-uncased            original          0.140141       0.416310   0.202819          0.018705       0.062192   0.027873          0.080089       0.245971   0.117054   1.0  0.078187           0.591875        1.0
9   microsoft/prophetnet-large-uncased  original_extracted          0.105574       0.379333   0.159971          0.010994       0.039847   0.016781          0.062485       0.229859   0.094948   1.0  0.062403           0.469549        1.0
10  microsoft/prophetnet-large-uncased            pipeline          0.125232       0.443205   0.185128          0.014251       0.051230   0.021212          0.081204       0.303145   0.121440   1.0  0.068641           0.517075        1.0
11  microsoft/prophetnet-large-uncased  pipeline_extracted          0.102096       0.377428   0.155629          0.011144       0.042746   0.016934          0.064976       0.247212   0.099626   1.0  0.057695           0.386487        1.0
12         tuner007/pegasus_summarizer            original          0.102676       0.415400   0.161314          0.013515       0.055887   0.021244          0.062790       0.254133   0.098791   1.0  0.058366           0.559774        1.0
13         tuner007/pegasus_summarizer  original_extracted          0.095356       0.397052   0.151399          0.010378       0.041241   0.016370          0.060608       0.248156   0.096035   1.0  0.054830           0.450516        1.0
14         tuner007/pegasus_summarizer            pipeline          0.109029       0.476834   0.174347          0.015779       0.071433   0.025486          0.062060       0.276571   0.099680   1.0  0.062347           0.568005        1.0
15         tuner007/pegasus_summarizer  pipeline_extracted          0.107997       0.454952   0.171722          0.016082       0.066595   0.025495          0.066466       0.273755   0.105261   1.0  0.059170           0.586530        1.0
